school_name,postal_code,mainlevel_code,lat,long
ADMIRALTY PRIMARY SCHOOL,738907,PRIMARY,1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,737916,SECONDARY,1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,768643,PRIMARY,1.43341408412245,103.832750468895
AHMAD IBRAHIM SECONDARY SCHOOL,768928,SECONDARY,1.43605975368804,103.829718690077
AI TONG SCHOOL,579646,PRIMARY,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,159016,PRIMARY,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,544969,PRIMARY,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,569785,PRIMARY,1.38419941907925,103.841411716006
ANDERSON SECONDARY SCHOOL,569206,SECONDARY,1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,569843,JUNIOR COLLEGE,1.37894408046934,103.845760935132
ANG MO KIO PRIMARY SCHOOL,569920,PRIMARY,1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,569362,SECONDARY,1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,487012,SECONDARY,1.33058126205128,103.941082513081
ANGLO-CHINESE JUNIOR COLLEGE,139745,JUNIOR COLLEGE,1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,SECONDARY,1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,MIXED LEVELS,1.30185206138005,103.780141132126
ANGLO-CHINESE SCHOOL (JUNIOR),227988,PRIMARY,1.30932252730174,103.841552127373
ANGLO-CHINESE SCHOOL (PRIMARY),309918,PRIMARY,1.31871860621788,103.83534516884
ANGSANA PRIMARY SCHOOL,529366,PRIMARY,1.34846568919477,103.951577056231
ASSUMPTION ENGLISH SCHOOL,678117,SECONDARY,1.36916295281535,103.767937546001
BROADRICK SECONDARY SCHOOL,399935,SECONDARY,1.30705061123433,103.886917922608
ASSUMPTION PATHWAY SCHOOL,679697,SECONDARY,1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,538403,SECONDARY,1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,679944,PRIMARY,1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,318990,SECONDARY,1.34177065605301,103.852285636043
BEDOK GREEN PRIMARY SCHOOL,469317,PRIMARY,1.32399627990304,103.937745023577
BEDOK GREEN SECONDARY SCHOOL,469722,SECONDARY,1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,468585,SECONDARY,1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,469293,SECONDARY,1.3241570405706,103.943776244752
BENDEMEER PRIMARY SCHOOL,339948,PRIMARY,1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,327919,SECONDARY,1.32461111307996,103.860970284401
BLANGAH RISE PRIMARY SCHOOL,109100,PRIMARY,1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,649930,PRIMARY,1.34284013791617,103.712858381937
BOON LAY SECONDARY SCHOOL,648354,SECONDARY,1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,547529,SECONDARY,1.37035994436209,103.877659577677
